Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.97 [-6.23, 4.28]	-1.40 [-6.57, 3.76]	0.76 [-4.61, 6.12]	-3.70 [-9.48, 2.08]	2.18 [-2.61, 6.97]	-1.65 [-8.02, 4.72]	-3.03 [-9.86, 3.79]	
[MLPAvsLLPA4=2.00]	1.87 [-2.46, 6.20]	0.19 [-4.09, 4.46]	1.99 [-2.44, 6.42]	0.94 [-3.84, 5.73]	1.23 [-2.74, 5.19]	2.43 [-2.82, 7.68]	-0.89 [-6.77, 4.99]	
[MLPAvsLLPA4=1.00]	1.11 [-3.95, 6.17]	0.62 [-4.36, 5.61]	0.69 [-4.48, 5.86]	2.76 [-2.83, 8.34]	1.41 [-3.22, 6.03]	-0.78 [-6.91, 5.36]	0.40 [-6.73, 7.53]	
Time	2.06 [0.92, 3.19]***	3.94 [2.45, 5.43]***	3.30 [2.10, 4.50]***	0.07 [-1.80, 1.94]	-0.28 [-1.74, 1.18]	2.26 [0.92, 3.61]**	-0.70 [-2.89, 1.49]	
TimeSqr	-0.31 [-0.56, -0.05]*	-0.65 [-0.98, -0.32]***	-0.55 [-0.81, -0.28]***	-0.15 [-0.57, 0.27]	0.09 [-0.23, 0.42]	-0.24 [-0.54, 0.06]	0.35 [-0.22, 0.91]	
non-carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	0.08 [-3.04, 3.19]	-1.07 [-4.21, 2.06]	-0.31 [-2.85, 2.23]	0.53 [-2.70, 3.75]	-0.88 [-3.59, 1.82]	1.76 [-2.03, 5.56]	0.85 [-3.32, 5.03]	
[MLPAvsLLPA4=2.00]	2.51 [0.07, 4.95]*	1.51 [-0.95, 3.97]	1.87 [-0.12, 3.86]x	3.40 [0.87, 5.93]**	0.10 [-2.02, 2.22]	1.36 [-1.60, 4.33]	4.01 [0.64, 7.39]*	
[MLPAvsLLPA4=1.00]	2.83 [0.13, 5.53]*	1.43 [-1.29, 4.15]	1.45 [-0.75, 3.65]	0.27 [-2.53, 3.06]	2.96 [0.62, 5.31]*	3.65 [0.36, 6.94]*	4.25 [0.61, 7.89]*	
Time	2.51 [1.83, 3.19]***	3.73 [2.86, 4.60]***	3.23 [2.55, 3.91]***	0.01 [-1.03, 1.04]	0.61 [-0.30, 1.51]	1.96 [1.16, 2.75]***	0.79 [-0.56, 2.15]	
TimeSqr	-0.39 [-0.54, -0.23]***	-0.53 [-0.73, -0.33]***	-0.52 [-0.67, -0.36]***	-0.18 [-0.42, 0.06]	-0.05 [-0.26, 0.16]	-0.19 [-0.37, -0.01]*	-0.06 [-0.42, 0.30]	
