Test2		
Attention		Sig
[PASEtert2=2.00]	-1.54 [-6.39, 3.31]	0.53
[PASEtert2=1.00]	3.43 [-1.58, 8.44]	0.18
Time	2.46 [1.14, 3.77]***	0.00
TimeSqr	-0.28 [-0.57, 0.01]x	0.06
Test2		
Delayed memory		Sig
[PASEtert2=2.00]	0.68 [-3.44, 4.79]	0.74
[PASEtert2=1.00]	0.11 [-4.14, 4.36]	0.96
Time	3.38 [2.25, 4.51]***	0.00
TimeSqr	-0.56 [-0.82, -0.31]***	0.00
Test2		
Executive function		Sig
[PASEtert2=2.00]	3.07 [-2.41, 8.56]	0.27
[PASEtert2=1.00]	0.08 [-5.46, 5.62]	0.98
Time	-0.60 [-2.70, 1.50]	0.57
TimeSqr	0.35 [-0.19, 0.89]	0.20
Test2		
Global Cog		Sig
[PASEtert2=2.00]	0.34 [-3.79, 4.47]	0.87
[PASEtert2=1.00]	1.91 [-2.36, 6.19]	0.38
Time	2.32 [1.22, 3.42]***	0.00
TimeSqr	-0.37 [-0.61, -0.13]**	0.00
Test2		
Immediate memory		Sig
[PASEtert2=2.00]	1.26 [-2.70, 5.22]	0.53
[PASEtert2=1.00]	1.86 [-2.21, 5.94]	0.37
Time	4.13 [2.67, 5.60]***	0.00
TimeSqr	-0.71 [-1.04, -0.38]***	0.00
Test2		
Language		Sig
[PASEtert2=2.00]	-0.30 [-4.01, 3.40]	0.87
[PASEtert2=1.00]	2.95 [-0.86, 6.76]	0.13
Time	-0.08 [-1.48, 1.32]	0.91
TimeSqr	0.07 [-0.25, 0.38]	0.68
Test2		
Visuospatial		Sig
[PASEtert2=2.00]	2.26 [-2.26, 6.79]	0.33
[PASEtert2=1.00]	-1.06 [-5.72, 3.59]	0.65
Time	0.57 [-1.23, 2.37]	0.53
TimeSqr	-0.27 [-0.67, 0.14]	0.19
