MLLLPAxAPOE_Model1		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.56 [-9.92, 4.81]	0.50
[MLPAvsLLPA4=2.00] * APOE4Car	0.99 [-4.90, 6.89]	0.74
[MLPAvsLLPA4=1.00] * APOE4Car	-3.67 [-10.49, 3.15]	0.29
MLLLPAxAPOE_Model1		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	2.16 [-3.07, 7.38]	0.42
[MLPAvsLLPA4=2.00] * APOE4Car	1.45 [-2.73, 5.64]	0.49
[MLPAvsLLPA4=1.00] * APOE4Car	0.75 [-4.09, 5.59]	0.76
MLLLPAxAPOE_Model1		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.92 [-10.00, 6.16]	0.64
[MLPAvsLLPA4=2.00] * APOE4Car	-4.62 [-11.35, 2.11]	0.18
[MLPAvsLLPA4=1.00] * APOE4Car	-2.72 [-10.68, 5.24]	0.50
MLLLPAxAPOE_Model1		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.26 [-5.88, 6.39]	0.93
[MLPAvsLLPA4=2.00] * APOE4Car	0.08 [-4.82, 4.99]	0.97
[MLPAvsLLPA4=1.00] * APOE4Car	-0.33 [-6.02, 5.35]	0.91
MLLLPAxAPOE_Model1		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.55 [-5.46, 6.57]	0.86
[MLPAvsLLPA4=2.00] * APOE4Car	0.41 [-4.41, 5.23]	0.87
[MLPAvsLLPA4=1.00] * APOE4Car	1.05 [-4.53, 6.63]	0.71
MLLLPAxAPOE_Model1		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	3.53 [-1.80, 8.85]	0.19
[MLPAvsLLPA4=2.00] * APOE4Car	0.48 [-3.80, 4.75]	0.83
[MLPAvsLLPA4=1.00] * APOE4Car	-1.45 [-6.39, 3.50]	0.56
MLLLPAxAPOE_Model1		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.94 [-9.36, 3.47]	0.37
[MLPAvsLLPA4=2.00] * APOE4Car	-2.06 [-7.21, 3.09]	0.43
[MLPAvsLLPA4=1.00] * APOE4Car	3.57 [-2.39, 9.52]	0.24
