MLLLPAxSex_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Sex	-2.44 [-9.06, 4.19]	0.47
[MLPAvsLLPA4=2.00] * Sex	-1.44 [-6.68, 3.80]	0.59
[MLPAvsLLPA4=1.00] * Sex	-1.13 [-6.85, 4.58]	0.70
MLLLPAxSex_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.54 [-5.28, 4.20]	0.82
[MLPAvsLLPA4=2.00] * Sex	-0.89 [-4.65, 2.86]	0.64
[MLPAvsLLPA4=1.00] * Sex	-0.45 [-4.54, 3.63]	0.83
MLLLPAxSex_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Sex	3.39 [-4.23, 11.01]	0.38
[MLPAvsLLPA4=2.00] * Sex	2.27 [-3.94, 8.47]	0.47
[MLPAvsLLPA4=1.00] * Sex	2.21 [-4.42, 8.84]	0.51
MLLLPAxSex_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.79 [-6.18, 4.61]	0.78
[MLPAvsLLPA4=2.00] * Sex	-1.20 [-5.46, 3.07]	0.58
[MLPAvsLLPA4=1.00] * Sex	-1.73 [-6.38, 2.92]	0.47
MLLLPAxSex_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-1.65 [-7.19, 3.90]	0.56
[MLPAvsLLPA4=2.00] * Sex	-1.01 [-5.40, 3.39]	0.65
[MLPAvsLLPA4=1.00] * Sex	-1.64 [-6.42, 3.13]	0.50
MLLLPAxSex_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Sex	1.03 [-3.89, 5.95]	0.68
[MLPAvsLLPA4=2.00] * Sex	-0.97 [-4.87, 2.94]	0.63
[MLPAvsLLPA4=1.00] * Sex	0.32 [-3.91, 4.55]	0.88
MLLLPAxSex_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Sex	0.87 [-4.98, 6.71]	0.77
[MLPAvsLLPA4=2.00] * Sex	0.07 [-4.57, 4.71]	0.97
[MLPAvsLLPA4=1.00] * Sex	-2.76 [-7.79, 2.27]	0.28
MLLLPAxSex_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Sex	-2.44 [-9.06, 4.19]	0.47
[MLPAvsLLPA4=2.00] * Sex	-1.44 [-6.68, 3.80]	0.59
[MLPAvsLLPA4=1.00] * Sex	-1.13 [-6.85, 4.58]	0.70
MLLLPAxSex_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.54 [-5.28, 4.20]	0.82
[MLPAvsLLPA4=2.00] * Sex	-0.89 [-4.65, 2.86]	0.64
[MLPAvsLLPA4=1.00] * Sex	-0.45 [-4.54, 3.63]	0.83
MLLLPAxSex_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Sex	3.39 [-4.23, 11.01]	0.38
[MLPAvsLLPA4=2.00] * Sex	2.27 [-3.94, 8.47]	0.47
[MLPAvsLLPA4=1.00] * Sex	2.21 [-4.42, 8.84]	0.51
MLLLPAxSex_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.79 [-6.18, 4.61]	0.78
[MLPAvsLLPA4=2.00] * Sex	-1.20 [-5.46, 3.07]	0.58
[MLPAvsLLPA4=1.00] * Sex	-1.73 [-6.38, 2.92]	0.47
MLLLPAxSex_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-1.65 [-7.19, 3.90]	0.56
[MLPAvsLLPA4=2.00] * Sex	-1.01 [-5.40, 3.39]	0.65
[MLPAvsLLPA4=1.00] * Sex	-1.64 [-6.42, 3.13]	0.50
MLLLPAxSex_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Sex	1.03 [-3.89, 5.95]	0.68
[MLPAvsLLPA4=2.00] * Sex	-0.97 [-4.87, 2.94]	0.63
[MLPAvsLLPA4=1.00] * Sex	0.32 [-3.91, 4.55]	0.88
MLLLPAxSex_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Sex	0.87 [-4.98, 6.71]	0.77
[MLPAvsLLPA4=2.00] * Sex	0.07 [-4.57, 4.71]	0.97
[MLPAvsLLPA4=1.00] * Sex	-2.76 [-7.79, 2.27]	0.28
MLLLPAxSex_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Sex	-2.44 [-9.06, 4.19]	0.47
[MLPAvsLLPA4=2.00] * Sex	-1.44 [-6.68, 3.80]	0.59
[MLPAvsLLPA4=1.00] * Sex	-1.13 [-6.85, 4.58]	0.70
MLLLPAxSex_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.54 [-5.28, 4.20]	0.82
[MLPAvsLLPA4=2.00] * Sex	-0.89 [-4.65, 2.86]	0.64
[MLPAvsLLPA4=1.00] * Sex	-0.45 [-4.54, 3.63]	0.83
MLLLPAxSex_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Sex	3.39 [-4.23, 11.01]	0.38
[MLPAvsLLPA4=2.00] * Sex	2.27 [-3.94, 8.47]	0.47
[MLPAvsLLPA4=1.00] * Sex	2.21 [-4.42, 8.84]	0.51
MLLLPAxSex_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Sex	-0.79 [-6.18, 4.61]	0.78
[MLPAvsLLPA4=2.00] * Sex	-1.20 [-5.46, 3.07]	0.58
[MLPAvsLLPA4=1.00] * Sex	-1.73 [-6.38, 2.92]	0.47
MLLLPAxSex_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Sex	-1.65 [-7.19, 3.90]	0.56
[MLPAvsLLPA4=2.00] * Sex	-1.01 [-5.40, 3.39]	0.65
[MLPAvsLLPA4=1.00] * Sex	-1.64 [-6.42, 3.13]	0.50
MLLLPAxSex_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Sex	1.03 [-3.89, 5.95]	0.68
[MLPAvsLLPA4=2.00] * Sex	-0.97 [-4.87, 2.94]	0.63
[MLPAvsLLPA4=1.00] * Sex	0.32 [-3.91, 4.55]	0.88
MLLLPAxSex_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Sex	0.87 [-4.98, 6.71]	0.77
[MLPAvsLLPA4=2.00] * Sex	0.07 [-4.57, 4.71]	0.97
[MLPAvsLLPA4=1.00] * Sex	-2.76 [-7.79, 2.27]	0.28
