Model 3		
Attention		Sig
[MLPAPos4=.00]	0.85 [-3.59, 5.30]	0.71
Time	2.14 [0.71, 3.57]**	0.00
TimeSqr	-0.21 [-0.53, 0.11]	0.20
Model 3		
Delayed memory		Sig
[MLPAPos4=.00]	1.52 [-2.08, 5.11]	0.41
Time	3.72 [2.46, 4.99]***	0.00
TimeSqr	-0.63 [-0.91, -0.35]***	0.00
Model 3		
Executive function		Sig
[MLPAPos4=.00]	0.09 [-4.96, 5.15]	0.97
Time	-1.01 [-3.32, 1.31]	0.39
TimeSqr	0.47 [-0.12, 1.07]	0.12
Model 3		
Global Cog		Sig
[MLPAPos4=.00]	1.86 [-1.82, 5.53]	0.32
Time	2.03 [0.83, 3.22]**	0.00
TimeSqr	-0.29 [-0.56, -0.03]*	0.03
Model 3		
Immediate memory		Sig
[MLPAPos4=.00]	0.69 [-2.93, 4.32]	0.71
Time	3.88 [2.31, 5.45]***	0.00
TimeSqr	-0.63 [-0.98, -0.28]***	0.00
Model 3		
Language		Sig
[MLPAPos4=.00]	1.16 [-2.31, 4.63]	0.51
Time	-0.18 [-1.74, 1.38]	0.82
TimeSqr	0.07 [-0.28, 0.41]	0.70
Model 3		
Visuospatial		Sig
[MLPAPos4=.00]	2.99 [-1.20, 7.17]	0.16
Time	-0.31 [-2.26, 1.64]	0.76
TimeSqr	-0.06 [-0.49, 0.38]	0.79
