MLPAxAPOE_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * APOE4Car	-2.56 [-8.74, 3.63]	0.42
MLPAxAPOE_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * APOE4Car	1.32 [-2.81, 5.46]	0.53
MLPAxAPOE_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * APOE4Car	-6.61 [-13.38, 0.16]x	0.06
MLPAxAPOE_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * APOE4Car	-0.62 [-5.59, 4.35]	0.81
MLPAxAPOE_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * APOE4Car	0.05 [-4.91, 5.00]	0.98
MLPAxAPOE_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00] * APOE4Car	-1.54 [-6.12, 3.05]	0.51
MLPAxAPOE_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * APOE4Car	1.25 [-4.18, 6.68]	0.65
